timestamp,electricity_price,pv_generation,base_load,ambient_temp
0,0.0,0.0,389.052,0.0
900,0.0,0.0,369.505,0.0
1800,0.0,0.0,355.421,0.0
2700,0.0,0.0,342.614,0.0
3600,0.0,0.0,330.261,0.0
4500,0.0,0.0,319.302,0.0
5400,0.0,0.0,308.680,0.0
6300,0.0,0.0,296.932,0.0
7200,0.0,0.0,293.419,0.0
8100,0.0,0.0,285.873,0.0
9000,0.0,0.0,280.310,0.0
9900,0.0,0.0,275.015,0.0
10800,0.0,0.0,273.503,0.0
11700,0.0,0.0,269.822,0.0
12600,0.0,0.0,266.158,0.0
13500,0.0,0.0,262.746,0.0
14400,0.0,0.0,261.973,0.0
15300,0.0,0.0,258.998,0.0
16200,0.0,0.0,259.687,0.0
17100,0.0,0.0,264.057,0.0
18000,0.0,0.0,264.444,0.0
18900,0.0,0.0,260.309,0.0
19800,0.0,0.0,261.956,0.0
20700,0.0,0.0,266.040,0.0
21600,0.0,0.0,276.965,0.0
22500,0.0,0.0,287.335,0.0
23400,0.0,0.0,297.907,0.0
24300,0.0,0.0,307.873,0.0
25200,0.0,0.0,328.143,0.0
26100,0.0,0.0,344.160,0.0
27000,0.0,0.0,366.514,0.0
27900,0.0,0.0,392.918,0.0
28800,0.0,0.0,417.574,0.0
29700,0.0,0.0,445.558,0.0
30600,0.0,0.0,465.743,0.0
31500,0.0,0.0,489.038,0.0
32400,0.0,0.0,511.122,0.0
33300,0.0,0.0,534.988,0.0
34200,0.0,0.0,555.560,0.0
35100,0.0,0.0,573.763,0.0
36000,0.0,0.0,592.788,0.0
36900,0.0,0.0,611.965,0.0
37800,0.0,0.0,630.419,0.0
38700,0.0,0.0,649.412,0.0
39600,0.0,0.0,676.135,0.0
40500,0.0,0.0,705.161,0.0
41400,0.0,0.0,724.422,0.0
42300,0.0,0.0,727.195,0.0
43200,0.0,0.0,712.825,0.0
44100,0.0,0.0,699.665,0.0
45000,0.0,0.0,687.900,0.0
45900,0.0,0.0,676.219,0.0
46800,0.0,0.0,660.269,0.0
47700,0.0,0.0,646.302,0.0
48600,0.0,0.0,637.260,0.0
49500,0.0,0.0,626.167,0.0
50400,0.0,0.0,615.478,0.0
51300,0.0,0.0,609.226,0.0
52200,0.0,0.0,604.637,0.0
