timestamp,ambient_temp,solar_irradiance_w_m2,price,load,internal_gains_w,solar_gains_w,wind_speed_m_s
2024-01-01 00:00:00,10.0,396.0,-0.0052699999999999995,36.0,0.0,0.0,0.0
2024-01-01 00:15:00,10.655004608321285,976.0,-0.0052699999999999995,56.0,0.0,65.50046083212844,0.1310009216642569
2024-01-01 00:30:00,11.30719602296778,552.0,-0.0052699999999999995,216.0,0.0,130.7196022967779,0.2614392045935558
2024-01-01 00:45:00,11.95377313271198,612.0,-0.0052699999999999995,80.0,0.0,195.37731327119795,0.3907546265423959
2024-01-01 01:00:00,12.591958939327785,652.0,-0.02999,80.0,0.0,259.19589393277846,0.518391787865557
2024-01-01 01:15:00,13.219012484581155,896.0,-0.02999,208.0,0.0,321.9012484581155,0.643802496916231
2024-01-01 01:30:00,13.832240622431815,368.0,-0.02999,84.0,0.0,383.2240622431816,0.7664481244863632
2024-01-01 01:45:00,14.429009585885325,356.0,-0.02999,100.0,0.0,442.90095858853255,0.8858019171770651
2024-01-01 02:00:00,15.006756298816768,344.0,-0.03048,180.0,0.0,500.6756298816768,1.0013512597633536
2024-01-01 02:15:00,15.562999384182682,360.0,-0.03096,112.0,0.0,556.2999384182682,1.1125998768365364
2024-01-01 02:30:00,16.095349821341813,416.0,-0.03145,84.0,0.0,609.5349821341811,1.2190699642683622
2024-01-01 02:45:00,16.601521206712317,440.0,-0.03194,128.0,0.0,660.1521206712316,1.3203042413424633
2024-01-01 03:00:00,17.07933957369672,540.0,-0.03243,172.0,0.0,707.9339573696722,1.4158679147393443
2024-01-01 03:15:00,17.526752729698785,260.0,-0.032909999999999995,60.0,0.0,752.6752729698787,1.5053505459397574
2024-01-01 03:30:00,17.941839070130555,180.0,-0.0334,108.0,0.0,794.1839070130555,1.588367814026111
2024-01-01 03:45:00,18.322815831554095,164.0,-0.03389,152.0,0.0,832.2815831554093,1.6645631663108187
2024-01-01 04:00:00,18.668046748511323,176.0,-0.03437,80.0,0.0,866.8046748511321,1.7336093497022642
2024-01-01 04:15:00,18.97604908115646,140.0,-0.03486,168.0,0.0,897.6049081156461,1.7952098162312922
2024-01-01 04:30:00,19.24549998350796,104.0,-0.03535,192.0,0.0,924.5499983507959,1.8490999967015918
2024-01-01 04:45:00,19.475242184968735,204.0,-0.03583,76.0,0.0,947.5242184968733,1.8950484369937466
2024-01-01 05:00:00,19.66428896071308,136.0,-0.03632,100.0,0.0,966.4288960713081,1.9328577921426162
2024-01-01 05:15:00,19.81182836959279,32.0,-0.03681,344.0,0.0,981.1828369592791,1.9623656739185582
2024-01-01 05:30:00,19.917226741361013,4.0,-0.0373,228.0,0.0,991.7226741361015,1.983445348272203
